,title,price,disc
21,"4 սենյականոց բնակարան Վարդանանց փողոցում, 148 ք.մ., 2 սանհանգույց, բարձր առաստաղներ, քարե շենք","$100,000","Կենտրոն, 6 սեն., 336 ք.մ., 5/14 հարկ"
22,"Ընդարձակ 6 սենյականոց բնակարան նորակառույց շենքում Արամի փողոցում, 336 ք.մ., 3+ սանհանգույց","$140,000","Արաբկիր, 3 սեն., 74 ք.մ., 2/10 հարկ"
23,"3 սենյականոց բնակարան նորակառույց շենքում Օրբելի եղբայրների փողոցում, 74 ք.մ., 2 սանհանգույց","$185,000","Կենտրոն, 4 սեն., 85 ք.մ., 4/4 հարկ"
24,"4 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 85 ք.մ., 2 սանհանգույց, բարձր առաստաղներ","$250,000","Կենտրոն, 4 սեն., 80 ք.մ., 4/4 հարկ"
25,"4 սենյականոց բնակարան Մեսրոպ Մաշտոցի պողոտայում, 80 ք.մ., բարձր առաստաղներ, մի քանի պատշգամբ","$330,000","Կենտրոն, 5 սեն., 231 ք.մ., 13/16 հարկ"
26,"5 սենյականոց բնակարան նորակառույց շենքում Լեոյի փողոցում, 231 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$260,000","Քանաքեռ Զեյթուն, 4 սեն., 103 ք.մ., 9/11 հարկ"
27,"4 սենյականոց բնակարան նորակառույց շենքում Նիկողայոս Ադոնց փողոցում, 103 ք.մ., 2 սանհանգույց","$550,000","Արաբկիր, 2 սեն., 93 ք.մ., 5/6 հարկ"
28,"2 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 93 ք.մ., 2 սանհանգույց","$350,000","Կենտրոն, 8 սեն., 350 ք.մ., 4/5 հարկ"
29,"8 սենյականոց բնակարան նորակառույց շենքում Վերին Անտառային փողոցում, 350 ք.մ., 3+ սանհանգույց","$340,000","Կենտրոն, 3 սեն., 120 ք.մ., 10/13 հարկ"
30,"3 սենյականոց բնակարան նորակառույց շենքում Պարոնյան փողոցում, 120 ք.մ., բարձր առաստաղներ, 10/13 հարկ","$315,000","Կենտրոն, 4 սեն., 127 ք.մ., 6/14 հարկ"
31,"4 սենյականոց բնակարան նորակառույց շենքում Մարշալ Բաղրամյան պողոտայում, 127 ք.մ., 2 սանհանգույց","$480,000","Արաբկիր, 8 սեն., 376 ք.մ., 17/17 հարկ"
32,"8 սենյականոց բնակարան նորակառույց շենքում Արաբկիրում, 376 ք.մ., 3+ սանհանգույց, բարձր առաստաղներ","$550,000","Շենգավիթ, 2 սեն., 49 ք.մ., 2/2 հարկ"
33,"2 սենյականոց բնակարան Շարուրի փողոցում, 49 ք.մ., 2/2 հարկ, կապիտալ վերանորոգված, քարե շենք","$190,000","Կենտրոն, 2 սեն., 107 ք.մ., 6/18 հարկ"
